n_samples,epsilon,run_idx,seed,dp_mse_truth,dp_runtime_s,timestamp
1200,0.1,9,1200019,0.023974933914992797,0.04361500032246113,2026-04-30 20:35:32
1200,0.1,8,1200018,0.022289582657359634,0.05774275027215481,2026-04-30 20:35:32
1200,0.1,11,1200021,0.03141861051840044,0.04667920898646116,2026-04-30 20:35:32
1200,0.1,10,1200020,0.04304485661193243,0.05255262507125735,2026-04-30 20:35:32
1200,0.1,12,1200022,0.029090782793946994,0.043823915999382734,2026-04-30 20:35:32
1200,0.1,13,1200023,0.03316371237031507,0.046102707739919424,2026-04-30 20:35:32
1200,0.1,15,1200025,0.02742410995526702,0.04071083292365074,2026-04-30 20:35:32
1200,0.1,14,1200024,0.02434967088137896,0.046208917163312435,2026-04-30 20:35:32
1200,0.1,16,1200026,0.03854174393323024,0.04576779110357165,2026-04-30 20:35:32
1200,0.1,17,1200027,0.022381118870433498,0.042565582785755396,2026-04-30 20:35:32
1200,0.1,18,1200028,0.043879916920827836,0.040159791242331266,2026-04-30 20:35:32
1200,0.1,19,1200029,0.060273412656877634,0.04283766681328416,2026-04-30 20:35:32
1200,0.2,0,1200020,0.004945865168250247,0.04316770890727639,2026-04-30 20:35:37
1200,0.2,1,1200021,0.014691936194572482,0.045841250102967024,2026-04-30 20:35:37
1200,0.2,4,1200024,0.003628091978502559,0.03735154075548053,2026-04-30 20:35:37
1200,0.2,2,1200022,0.00775709106501621,0.048669792246073484,2026-04-30 20:35:37
1200,0.2,3,1200023,0.01035666183845399,0.0555161670781672,2026-04-30 20:35:37
1200,0.2,5,1200025,0.006843735258249825,0.049292916897684336,2026-04-30 20:35:37
1200,0.2,6,1200026,0.00510660965329126,0.05673633283004165,2026-04-30 20:35:37
1200,0.2,7,1200027,0.007675095784632305,0.043085583951324224,2026-04-30 20:35:37
1200,0.2,9,1200029,0.010830249592860875,0.03984854184091091,2026-04-30 20:35:37
1200,0.2,8,1200028,0.012898947745737951,0.046328125055879354,2026-04-30 20:35:37
1200,0.2,10,1200030,0.009667910820464086,0.05097420793026686,2026-04-30 20:35:37
1200,0.2,13,1200033,0.0026323219879661485,0.03984683286398649,2026-04-30 20:35:37
1200,0.2,11,1200031,0.010529112684645726,0.05137145798653364,2026-04-30 20:35:37
1200,0.2,12,1200032,0.006650410340018594,0.061882083769887686,2026-04-30 20:35:37
1200,0.2,14,1200034,0.003721428382385189,0.04911170806735754,2026-04-30 20:35:37
1200,0.2,15,1200035,0.0021798026685746776,0.0445855837315321,2026-04-30 20:35:37
1200,0.2,16,1200036,0.0045608987745536615,0.038132417015731335,2026-04-30 20:35:37
1200,0.2,19,1200039,0.00954051524055939,0.03280354104936123,2026-04-30 20:35:37
1200,0.2,18,1200038,0.01203819415252806,0.03460537502542138,2026-04-30 20:35:37
1200,0.2,17,1200037,0.0022116538652731327,0.04348483309149742,2026-04-30 20:35:37
1200,0.5,0,1200050,0.0013577586270041118,0.040708750020712614,2026-04-30 20:35:41
1200,0.5,2,1200052,0.0013456878227713256,0.0518269999884069,2026-04-30 20:35:41
1200,0.5,1,1200051,0.0027053707187074333,0.0605379999615252,2026-04-30 20:35:41
1200,0.5,3,1200053,0.0008861835055034799,0.05011283280327916,2026-04-30 20:35:41
1200,0.5,4,1200054,0.0020242455686172466,0.04434183379635215,2026-04-30 20:35:41
1200,0.5,5,1200055,0.002767012858280495,0.040729125030338764,2026-04-30 20:35:41
1200,0.5,6,1200056,0.0014107497054751212,0.04385645780712366,2026-04-30 20:35:41
1200,0.5,7,1200057,0.001357807608197796,0.05043233325704932,2026-04-30 20:35:41
1200,0.5,9,1200059,0.008265107769697877,0.03965208260342479,2026-04-30 20:35:41
1200,0.5,8,1200058,0.0026194966910715817,0.054163042455911636,2026-04-30 20:35:41
1200,0.5,11,1200061,0.0013949071317276146,0.04528262512758374,2026-04-30 20:35:41
1200,0.5,10,1200060,0.008098152027797139,0.05640025017783046,2026-04-30 20:35:41
1200,0.5,14,1200064,0.0007245909240443271,0.035518291871994734,2026-04-30 20:35:41
1200,0.5,13,1200063,0.0018919572864893124,0.05018787458539009,2026-04-30 20:35:41
1200,0.5,12,1200062,0.0012642176189791615,0.056922833900898695,2026-04-30 20:35:41
1200,0.5,15,1200065,0.00822524719867018,0.041003374848514795,2026-04-30 20:35:41
1200,0.5,16,1200066,0.0021814557334984505,0.0399382496252656,2026-04-30 20:35:41
1200,0.5,18,1200068,0.0010393705340152612,0.03371600015088916,2026-04-30 20:35:41
1200,0.5,17,1200067,0.0009774430018322639,0.042197042144834995,2026-04-30 20:35:41
1200,0.5,19,1200069,0.0014959202994396245,0.033887332770973444,2026-04-30 20:35:41
1200,1.0,0,1200100,0.0005689654424045393,0.044210333842784166,2026-04-30 20:35:45
1200,1.0,1,1200101,0.0006147527272133288,0.049523916095495224,2026-04-30 20:35:45
1200,1.0,2,1200102,0.0007325601497358575,0.04041887493804097,2026-04-30 20:35:45
1200,1.0,3,1200103,0.0006914252248839649,0.05399112496525049,2026-04-30 20:35:45
1200,1.0,5,1200105,0.0005084596686309494,0.03999483399093151,2026-04-30 20:35:45
1200,1.0,4,1200104,0.0017338179366510906,0.042753790970891714,2026-04-30 20:35:45
1200,1.0,6,1200106,0.0008085731447402496,0.047811209224164486,2026-04-30 20:35:45
1200,1.0,9,1200109,0.0006352583829752952,0.047963500022888184,2026-04-30 20:35:45
