n_samples,epsilon,run_idx,seed,pms_mse_truth,pms_runtime_s,timestamp
1200,0.1,1,3200011,0.0008187804198106815,0.10335729224607348,2026-04-30 20:35:29
1200,0.1,2,3200012,0.0008187804198106815,0.10312583297491074,2026-04-30 20:35:29
1200,0.1,3,3200013,0.0008187804198106815,0.10413987468928099,2026-04-30 20:35:29
1200,0.1,4,3200014,0.0008187804198106815,0.10387541679665446,2026-04-30 20:35:29
1200,0.1,5,3200015,0.0008187804198106815,0.1040150411427021,2026-04-30 20:35:29
1200,0.1,6,3200016,0.0008187804198106815,0.10462304204702377,2026-04-30 20:35:29
1200,0.1,7,3200017,0.0008187804198106815,0.10285808285698295,2026-04-30 20:35:29
1200,0.1,8,3200018,0.0008187804198106815,0.10307295806705952,2026-04-30 20:35:29
1200,0.1,9,3200019,0.0008187804198106815,0.1033375421538949,2026-04-30 20:35:29
1200,0.1,10,3200020,0.0008187804198106815,0.10467433370649815,2026-04-30 20:35:30
1200,0.1,11,3200021,0.0008187804198106815,0.10328954085707664,2026-04-30 20:35:30
1200,0.1,12,3200022,0.0008187804198106815,0.10354408295825124,2026-04-30 20:35:30
1200,0.1,13,3200023,0.0008187804198106815,0.10272729210555553,2026-04-30 20:35:30
1200,0.1,14,3200024,0.0008187804198106815,0.10278637520968914,2026-04-30 20:35:30
1200,0.1,15,3200025,0.0008187804198106815,0.10338220791891217,2026-04-30 20:35:30
1200,0.1,16,3200026,0.0008187804198106815,0.10293099982663989,2026-04-30 20:35:30
1200,0.1,17,3200027,0.0008187804198106815,0.1029431251809001,2026-04-30 20:35:30
1200,0.1,18,3200028,0.0008187804198106815,0.10321450000628829,2026-04-30 20:35:30
1200,0.1,19,3200029,0.0008187804198106815,0.1035846658051014,2026-04-30 20:35:30
1200,0.2,0,3200020,0.0008187804198106815,0.10482904221862555,2026-04-30 20:35:33
1200,0.2,1,3200021,0.0008187804198106815,0.10426404187455773,2026-04-30 20:35:33
1200,0.2,2,3200022,0.0008187804198106815,0.1033801669254899,2026-04-30 20:35:33
1200,0.2,3,3200023,0.0008187804198106815,0.10317262494936585,2026-04-30 20:35:33
1200,0.2,4,3200024,0.0008187804198106815,0.10330408299341798,2026-04-30 20:35:33
1200,0.2,5,3200025,0.0008187804198106815,0.10336820781230927,2026-04-30 20:35:33
1200,0.2,6,3200026,0.0008187804198106815,0.103643249720335,2026-04-30 20:35:33
1200,0.2,7,3200027,0.0008187804198106815,0.1031896248459816,2026-04-30 20:35:34
1200,0.2,8,3200028,0.0008187804198106815,0.10362708382308483,2026-04-30 20:35:34
1200,0.2,9,3200029,0.0008187804198106815,0.10317512508481741,2026-04-30 20:35:34
1200,0.2,10,3200030,0.0008187804198106815,0.10312674986198545,2026-04-30 20:35:34
1200,0.2,11,3200031,0.0008187804198106815,0.1025318750180304,2026-04-30 20:35:34
